,question
83834,"IN DT NN VBZ , WP VBD DT DT NNS IN NNP IN NNP NN IN ."
83835,DT NNP IN NNP VBD IN DT NNP IN NNP TO VB WP .
83836,JJ VBD IN WDT NN .
83837,WP VBZ DT JJ NNP VBN IN .
83838,IN WDT NN VBD DT JJ NN .
83839,JJ NNS VBD VBN IN DT NNP NNP .
83840,"IN CD , NNP VBD DT NN IN WDT NN ."
83841,WP VBZ DT JJS VBG NN IN DT NN .
83842,DT JJ NN VBD IN DT NN TO WP .
83843,IN WDT JJ NN VBZ EX RB JJ JJ NN .
83844,WP JJ NN VBD NNP NN .
83845,WP VBD DT NNP IN NNP NNP DT NNP .
83846,WDT CD NNP NN VBD NNP NN .
83847,IN WDT NN VBD NNP VB DT NN TO NNP .
83848,WP JJ JJ NN VBD NNP NN .
83849,WP VBD DT CD NNP IN NNP .
83850,WP NN VBD NNP NNP NNP NNP VB .
83851,WP VBD DT NN IN NNP POS JJ NN .
83852,WP VBD FW NNP POS JJ NN TO .
83853,WP VBD RB JJ IN IN NNP POS JJ NN .
83854,NNP DT NNP POS NN IN FW NNP NN CC NN .
83855,WP NN VBD VBN TO VB NNP IN CD .
83856,IN WP$ JJ NN VBD JJ NNP VBD IN .
83857,WP VBD NN IN NNP .
83858,WP VBD NN IN NN JJ NNS IN NNP .
83859,WP VBD FW NNP POS JJS NNS .
83860,WRB VBD VB NNP VB DT NN IN NN IN NNP .
83861,NNP VB NNP VB JJ NNS RB IN CD NN IN NNS .
83862,IN WDT NN VBD VB NNP POS NNS VBP PRP DT RBS NNS .
83863,WP VBD DT JJ NN TO VB TO VB DT NN POS NN IN NNP .
83864,WP NN IN JJ NN VBD DT NN NN IN NNP VBD TO VB .
83865,WRB VBD RB VBN IN DT JJ NNS .
83866,WP VBP DT IN NNP POS NN NNS .
83867,WRB VBD VB NNP NN TO DT NN IN NN .
83868,NNP NNP VB DT NNS IN DT NN .
83869,WP VBD TO NNP PRP IN CD .
83870,WP VBD VBN IN DT JJ NN IN NNP PRP .
83871,WP VBD VBN IN DT NN IN DT NN NN IN NNP PRP .
83872,WP NN RB VBD DT NN IN DT NN .
83873,IN WP NN VBD NNP PRP VBP PRP$ NN DT NNP IN NNP .
83874,NNP DT JJ NNP IN NNP VBN IN NN IN DT NNP NN .
83875,IN WDT NN VBD DT NNP IN NNP VBD DT NNP IN NNP .
83876,WRB RB VBD DT NNP IN NNP NN NNP .
83877,WP VBD NNP POS JJ NN IN DT NN IN JJ NN .
83878,WP VBD NNP POS `` NN '' DT NN IN .
83879,IN WP$ NN VBD NNP VB DT JJ NN .
83880,WRB RB VBD NNP POS NN JJ .
83881,IN WP NN VBD NNP VB JJ IN NNP .
83882,TO WRB VBD NNP NNP NNP NNP IN NNP VB PRP$ NN .
83883,WP VBD DT NN IN DT JJ NN VBN IN NNP CC NNP IN CD .
83884,"WP VBD DT NN CC NN IN DT JJ JJ , JJ , JJ , JJ , JJ , CC JJ NN ."
83885,JJ CC JJ NNS VBN IN DT NN IN WDT NN .
83886,IN WP NN VBD DT NN IN NNP VBP RB RB IN IN NNP NNP MD VB VBN JJ TO RB VB TO NNP .
83887,IN WRB VBD DT NNP IN NNP VBP IN NNP .
83888,WRB VBD DT NNP NNP IN CD NN .
83889,WRB VBD DT NNP IN NNP VBD .
83890,WRB VBD DT NNP NNP NNS POS NNS RB VBN .
83891,IN WP NN VBD DT NNP NNP POS NNS VBD CC VBD .
83892,WP JJ NNP NNP POS JJ NNS VBD VBN IN DT NNP IN NNP .
83893,WRB VBD NN NNS VBG VBN NNP NNP .
83894,"IN WP NN VBD NNP NNP NNP PRP CC CC PRP$ NN , NNP NNP NNP NNP NNP , NNP IN NNP , VBN ."
83895,"IN DT NN IN NNP NNP NNP PRP , IN WP CD NNS VBD NNP VBD NNS ."
83896,WP VBD NNP NNP NNP PRP IN NN .
83897,IN WP NN VBD VBG NNP NNP IN .
83898,"IN DT NNP NNP NNP , WP VBG DT NN NN IN NN CC JJS ."
83899,WP VBD DT NNP NNP .
83900,IN WP NN VBD DT NNP NNP VBD .
83901,WRB JJ JJ NNS VBD JJ IN NNP NNP NNP .
83902,WP NN VBD NNP POS NN IN DT JJ NN .
83903,IN WRB VBD DT JJ NN NN NN IN PRP$ JJ NNS .
83904,WP VBD DT NNP NNP .
83905,IN WP VBD DT NNP VBN IN .
83906,WP NN VBD NNP IN CD .
83907,NNP NN VBD DT JJ NN IN CD .
83908,WP VBD DT NNP NNP IN NNP IN CD .
83909,IN WP NNS VBD NNP VBZ DT JJ NNP NNP .
83910,NNP WDT CD JJ NNS VBD NNP NN IN .
83911,IN WP NN VBD DT JJ NNP VBD .
83912,IN WP NNS VBD DT JJ NNP NN .
83913,WP NN IN NN VBZ NNP VB .
83914,"IN DT JJ JJ NN IN NNP , IN WP VBZ VBZ DT JJ NN ."
83915,"IN DT NN IN NNP CC IN DT NNP NN NN , IN WP VBZ VBZ DT JJ NN NN ."
83916,WRB JJ VBP DT NNS IN NNP CC DT NNP NN NN .
83917,WP NN IN NN VBP DT NN IN DT NNP CC NNP VBP .
83918,WP VBZ NN NNS JJ IN DT JJ NN .
83919,WP NN IN NN VBZ DT NN IN DT NNS VBP .
83920,WP CD NNS IN NNS MD VB VBN IN NNP .
83921,TO WP NN VBZ DT NN NN NN RB TO .
83922,WP NN IN NN NN VBZ VBG JJ VBN NNS IN NNP .
83923,WP VBD NN VBD RB VBN VBG JJ NNS IN NNP .
83924,WRB JJ JJ NN VBZ NNP VB .
83925,WP VBZ VBN .
83926,WP VBP DT NNS IN JJ NN VBD IN NNP NNS .
83927,WP NN IN NN NNS IN NNP CC NNP IN DT NNP .
83928,WRB JJ VBP JJ NNS MD VB VBN IN NNP .
83929,"IN NNP , WRB MD PRP VB DT JJ JJ NN ."
83930,WRB VBP DT NNS VBG VBN IN NNP .
83931,WP NN IN VBG NNS MD VB VBN IN DT NNS IN NNP .
83932,IN WRB JJ NNS VBZ DT NNP NN VBD .
83933,WP VBZ DT JJ NN IN NNP .
83934,WRB JJ NNS VBP RP DT NN IN DT NNP .
83935,IN WRB JJ IN DT NN VBP NNS VBN .
83936,WRB JJ NNS VBP IN DT NNP NNP .
83937,WP CD JJ NNS VBP NNP POS NN .
83938,IN WP CD NNS VBZ DT NNP NN NN .
83939,WP JJ JJ NNS VBP JJ IN DT CD JJ NNS .
83940,WP NN IN DT NN VBP DT JJ NNS VB .
83941,WP VBZ DT NNP IN NNP IN NNP .
83942,IN WRB JJ NNS VBZ DT NN IN DT NNP IN DT NNP JJ .
83943,IN WP VBZ VBZ DT NNP IN DT NNP VBN .
83944,WP VBZ DT NN TO VB CC VB DT NNP NNP .
83945,WP NN VBZ IN DT JJ NN .
83946,WP NN VBZ VBN IN DT NN POS NNS .
83947,WP VBZ VBN TO VB DT NN POS NN .
83948,JJ NN VBZ TO VB DT JJ NN IN WP .
83949,WP VBZ DT NNP FW NNP NNP : NNP ( NNP NNP NNP ) .
83950,WP VBZ DT NNP NNP : NNP ( NNP NNP ) .
83951,JJ NN VBZ DT JJ NNP .
83952,IN WDT NN VBD NNP VB NN NN .
83953,WRB JJ IN DT NN VBZ JJ TO VB .
83954,WP NN VBZ VBN TO DT VBN IN JJ NNS IN NNS .
83955,"IN CD , IN WRB JJ VBD DT NN IN NNP NN VBD ."
83956,WRB JJ NNS VBZ NNP VBN IN .
83957,WRB JJ JJ NNS VBP DT JJ NNS VBN IN .
83958,WRB JJ NNS VBZ DT JJ NNP VBD IN .
83959,WRB JJ NNS VBP RP DT NNP VBD NNS .
83960,WP VBP DT NNS IN DT NNP VBD NNS .
83961,WP VBZ DT JJ NN IN DT NNP VBD NNS .
83962,WRB JJ NNS VBD IN DT NNP VBD NNS IN CD .
83963,WRB JJ NN VBD VBN IN DT NNP VBD VBN IN CD .
83964,WP VBZ DT NN IN NNS IN DT NN .
83965,IN WP VBZ DT NN VBD RB VBN IN .
83966,WP VBZ DT JJ NN RB VBD IN .
83967,WP VBZ DT NNP NNP NNP NN IN .
83968,WRB JJ NNS VBZ DT NNP VB .
83969,IN WP CD JJ NNS VBD NNP NN IN IN DT JJ NN .
83970,IN WDT NNS VBD DT JJ NNP NNP VBD .
83971,IN WP NNS VBP DT NNP NNP NNS VBD IN VBG NNS .
83972,WP VBP CD NNS IN JJ JJ JJ JJ NNS VBN RB .
83973,WP VBD DT NN IN DT NN VBD VBN .
83974,WP VBD DT NN IN DT NNP NN .
83975,WRB VBD DT JJ NN VBN .
83976,"JJ CD CC CD , IN WP NN VBD DT NNS IN JJ NNS VBN ."
83977,"JJ CD CC CD , WRB VBD DT JJ NN VB NN CC NN NNS ."
83978,IN WP VBD DT NN VBN IN CD WDT VBD DT JJ NN VBD NN CC NN NNS .
83979,IN WP CD NNS VBD RB DT JJ NN .
83980,WDT CD JJ NNS VBD VBN VBG NNS IN NNS .
83981,WP VBD NNP CC NNP TO VB NNS .
83982,WRB VBD DT NN IN NNP RBR JJ .
83983,IN WP NN VBD NNP POS NNP VBD .
83984,WP NN VBZ NNP NN .
83985,WP NN VBD DT NN VB IN NNP .
83986,WP VBZ DT NN IN NNP POS JJ NN .
83987,"IN WP CD NNS VBP RBS JJ NNS , NNS , CC JJ NNS VBN ."
83988,"VBG TO NNP NNP NNP , IN WP NN VBZ NNP VBN IN NNP POS VBG NN ."
83989,IN WDT NN VBD DT NNP NNP VB NN .
83990,WP NN VBD DT NNP NNP .
83991,"IN DT CD POS , WRB VBZ NNP POS JJ NN NN VBN VBG ."
83992,WP VBP DT RBR JJ NNS WDT VBP VBN IN NNP .
83993,WP VBZ NNP DT NN POS JJ NN IN .
83994,IN WP NNS VBD DT JJ NN VBD RP .
83995,IN WP NN VBD DT JJ NN VBD TO .
83996,WRB JJ NN VBD VBN TO IN DT JJ NN .
83997,WRB VBD NNP NN DT NN .
83998,"IN DT NN NNP VBD DT NN , TO WP NN VBD DT NN NN VBN ."
83999,IN WP VBZ JJ NN VBN .
84000,"WP VBZ IN NNS RB RBR JJ NN , JJ NNS IN NNP ."
84001,WP VBZ IN NNS VBZ NNP VB .
84002,WP VBZ IN NN NNS VBZ NNP VB .
84003,JJ NN VBZ DT NN POS JJS VBN JJ NN .
84004,WP VBP DT NNS IN JJ NNS WDT VBP CC VBP JJ NNS .
84005,WP NN VBZ NNP VB CD IN DT JJS NNS IN NN IN .
84006,WP NN VBZ NNP VBD IN DT JJ JJ NN IN .
84007,WP VBP CD NNS IN NNS NNP VBZ DT JJ NN IN .
84008,WP NN IN NN VBZ NNP VB DT NN IN .
84009,IN WDT NN VBZ NNP VB JJ NNS IN NN CC NN .
84010,WP NN VBD DT NN IN DT NN IN NNP POS JJ NNS .
84011,WP JJ NNS VBP IN NNP .
84012,WP NN NNS VBP IN NNP .
84013,WRB VBZ NNP NNP POS NNP NN NN VBN .
84014,WP VBP DT JJ NNS IN DT NNP NN NNS .
84015,WRB VBP DT JJ NNS IN DT NN CC NNP NNS VBN .
84016,JJ NN NNS VBP VBN TO VB WP IN DT NN .
84017,IN WP NN VBZ NNP VB IN IN NNS .
84018,WRB VBZ NNP VB IN JJ NNS IN NNS .
84019,WP VBZ VBZ NNP VB TO VB NNS .
84020,WP NN VBD NNP IN `` DT JJ JJ NN IN NNP . ''
84021,"JJ CD CC CD , IN WP NN VBD DT NN IN NN NN ."
84022,"WP NN VBD DT NN NN NN IN NNP , CD ."
84023,"IN CD , WP NN VBD NNP CC NNP POS NN TO NNP POS JJ NN NN ."
84024,IN WDT NN VBD NNP POS NN NNP POS JJ NN NN .
84025,"WP VBD NNP NNP NNP NNP NN IN NNP CD , CD ."
84026,WRB JJ NNS VBZ NNP VBN JJ JJ NN .
84027,WP VBD DT JJ NN IN NNP IN JJ NN .
84028,IN WP NN VBD NNP POS NNP NNPS NN CD JJ NNS IN CD .
84029,"IN CD , WRB JJ JJ NNS VBD NNP VB IN DT CD NNS ."
84030,WP VBD DT JJ NN IN JJ NNS IN DT CD NNS IN DT NNP NNP IN CD .
84031,"IN NN TO NNP CC NNP NNS , WRB VBD NNP POS NN NN VBD ."
84032,JJ NN VBD DT JJS JJ NN NN IN NNP NNP IN CD .
84033,WRB JJ NNS CC NNS VBZ NNP VB IN CD NNS .
84034,WP VBD DT NNP NNP NNP IN CD .
84035,WP VBD DT NNP NNP NN IN DT JJ NN IN NNP IN CD .
84036,IN WP NN VBD NNP NNP NNP NNP NN VBG CD NNS .
84037,IN WDT NNS VBD NNP VB DT JJ NN IN .
84038,TO WP NN VBD NNP NNP VB DT NN NN .
84039,TO WP VBD NNP NNP NN NNS TO .
84040,WDT JJ NN VBD VBN IN JJ NN .
84041,WP VBD DT NN IN DT NNS VBP TO .
84042,IN WRB VBZ DT NNP NN NN VBN IN DT VBG NN .
84043,TO WP NN VBD DT NN NN NN IN .
84044,"IN DT JJ NN IN CD , WP VBD DT JJ NN NN ."
84045,IN WRB VBD DT JJ NN NN VBD DT CD NN NN .
84046,WP VBP DT NN NNS IN NNP .
84047,WRB VB CD CD JJ NNS NN IN NNP DT NN .
84048,WP VBZ RB VBD NN IN CD .
84049,WP NN NNS VBP DT JJ NN VBG TO VB CC VB .
84050,WP VBZ DT JJ JJ NN TO VB DT JJS NNS .
84051,WP VBD NN NNS IN NNP IN DT CD POS .
84052,"IN VBG DT JJ NNP NNP IN DT CD POS , WP VBD NNP VB VBG ."
84053,WRB JJ VBZ NNP POS JJ NN NN .
84054,IN WDT NN VBD DT JJ NN VBN IN NNP .
84055,WRB JJ NN VBZ DT NNP NNP NN .
84056,WRB JJ JJ NNS VBZ NNP VB .
84057,IN WP NNS VBP DT JJ NNS VBN .
84058,WRB VBZ NNP DT JJ NN IN JJ JJ NNS .
84059,WP VBZ DT JJ NN IN NNP .
84060,NNP WP NN VBZ NNP POS NN NN VB .
84061,WP NN NNS CC VBZ NNP POS NN NN .
84062,WRB JJ VBZ DT JJ NN NN IN NNP .
84063,WRB JJ VBZ DT NN IN NN NNS WDT VBP VBN .
84064,WRB JJ VBZ DT NN IN NN NNS WDT VBP NNS JJR IN CD NNS .
84065,WP VBP DT CD NN NNS IN NNP .
84066,WRB JJ VBP DT IN DT NN NNS .
84067,IN WP NN VBP DT NNP NN NNS VBN NNS IN .
84068,IN WRB JJ VBZ DT NNP NN NN VBD .
84069,IN WP NN IN NN VBP RBS JJ NN NNS VBN IN NNP .
84070,WP VBZ CD NN IN DT JJ JJ NN NN .
84071,IN WDT NN VBZ NN VBN IN NN CC VBG NNP POS NN NN .
84072,WP VBP CD IN DT JJ JJ NN NN NNS IN NNP .
84073,WP VBZ DT NNP NNP .
84074,WP VBZ DT NNP NNP NN DT NN .
84075,IN WP NN VBD DT NNPS NNP IN NNP VBD .
84076,WP VBZ DT NN IN DT JJS JJ NN .
84077,WP VBZ DT NN NN NNP NNP NN .
84078,WP VBP DT NNS IN JJ NNS VBD IN JJ NNS .
84079,"WP VBD JJ IN VBG NNS IN JJ , JJ , CC JJ NNS ."
84080,WP VBP DT NNS IN DT NN NNS VBG VBN IN NNP .
84081,IN WP NN TO NNS VB IN DT JJ NN NNS .
84082,WP VBP DT CD RBS JJ NNS IN JJ NN IN NNP .
84083,WRB VBD NNP NNP NNP NNP VBN .
84084,WRB VBD DT NNP NNP NNP VBN .
84085,"IN DT NN IN CD , WP NN IN NNP POS NN NN VBD IN JJ NNS ."
84086,WP VBZ DT NN IN NNP POS JJ NN NN NN .
84087,WP VBZ VB VB .
84088,IN WP JJ NN VBD NNP VBN NN IN DT NN NN .
84089,WP VBZ VBN TO VB NN NN IN NNP .
84090,WRB VBD DT JJ NN NN VB JJ NNS .
84091,WP VBD DT JJ NN IN CD .
84092,WP NN IN DT JJ NN IN CD VBD VBN .
84093,WP NN IN DT JJ NN IN CD VBD NN .
84094,WP VBZ DT JJ NN IN NNP .
84095,WP VBD DT NNPS WP VBD TO NNP VBN IN .
84096,IN WP NN IN NNS VBP DT NNP VBP PRP$ NN .
84097,WRB VBD NNS JJ VBP VBG IN DT JJ NN .
84098,WP VBZ DT JJ NN NN IN DT JJ NNS .
84099,WP VBZ DT NN IN NNP POS JJ NN .
84100,JJ NN VBZ NNP NN .
84101,WP VBD CD IN DT JJ NNS NNP VBD RP .
84102,DT JJ NN IN NNS VBP WP NN IN JJ .
84103,WRB JJ NNS VBD NNP VB IN CD .
84104,WP NN IN DT JJ NNS VBP NNP NNP .
84105,WP JJ JJ NNS VBP IN NNP .
84106,WP NN IN DT JJ NNS VBP IN JJ .
84107,WP NN IN DT JJ NN VBD RB VB DT NN IN PRP$ NN IN DT CD NN .
84108,IN WP NN VBP JJ NNP NNS CC NNS VBP PRP$ NN .
84109,IN WP NNS VBD DT NNP NNP NNP VBD DT NN IN DT NN .
84110,WP VBD DT NN CC NN IN VBN NN IN NNP .
84111,IN WP NNS VBD DT NN IN DT NNP NNP NNP VB NN .
84112,IN WP NN VBD DT NNP IN NNP VB NN .
84113,NNP VBD NNP VBG WP .
84114,WRB VBD NNP VB TO VB IN NNP .
84115,WP VBZ DT JJ NN IN NNP .
84116,WP NN IN NN VBZ JJ .
84117,WRB VBD VB VB .
84118,WP VBD DT JJ NN IN DT NNP CC JJ NNS .
84119,IN WP NN VBZ JJ VBN .
84120,IN WP NN IN NNS VBZ JJ VBN .
84121,IN WP NNS VBD NNP VB DT NN CC JJ NN .
84122,IN WRB JJ NNS VBZ JJ VBN IN DT JJ NN .
84123,WP NN VBZ DT JJS NN IN JJ JJ NNS .
84124,WP VBZ DT NN NN NN IN NNP .
84125,JJ JJ NN NN VBZ RB TO WP NN .
84126,WP NN IN NN NNS VBP DT JJR NN NN IN NNP .
84127,WP NN IN NN NNS VBP DT JJR NN NN IN DT NNP NNPS .
84128,IN WRB VBP JJ NNS VBN .
84129,WRB VBD DT JJS JJ NN VBN .
84130,WRB VBD DT JJS JJ NN NN TO .
84131,WP VBZ DT JJS NN NN IN DT NNP .
84132,WP VBZ DT JJS JJ NN IN NNP .
84133,WRB VBD DT NNP NN VBN .
84134,WP VBP RBS JJR NN NN NNS VBD IN .
84135,IN WP NN VBP JJR NN NNS VBN NN .
84136,WP VBZ DT NNP IN NNP JJ IN .
84137,WRB JJ JJ NN NNS VBP IN NNP .
84138,WP VBP DT JJ NN NNS IN NN IN .
84139,WP VBP RBS JJ NNS VBP IN .
84140,WP VBP DT CD JJ NNS IN JJ NN .
84141,WP VBZ DT JJS NN IN NNP .
84142,WP NN IN JJ NNS VBP RBR RB IN NN IN IN DT NNP .
84143,WP VBZ NN RBR JJ IN IN NNP .
84144,WP NN NNS VBP IN NNS IN NN NN .
84145,WP NN IN JJ NNS VBD PRP$ NN IN JJ CC RB JJ .
84146,NNP VBD PRP$ JJ JJ NNS IN WP CD NNS .
84147,IN WP NN VBD DT NNP NNP NNP VBD .
84148,WRB VBD DT NNP NNP NNP VBD .
84149,WP VBP DT NNS IN NNP POS JJ NN NNS .
84150,WRB JJ NNP NNP NNP NNP VBZ NNP NN TO .
84151,WP VBZ DT NNP NN RB VBN IN .
84152,WP VBZ DT NNP NN .
84153,WP VBZ JJ NNP NN .
84154,WP VBP DT IN DT RBS JJ NNS TO VB IN NNP .
84155,IN WP VBZ NNP NNP RB JJ IN IN NNP .
84156,IN WDT NN VBD JJ VBN .
84157,WP VBP DT NNS IN NNP NN NNS .
84158,WP VBP DT JJ JJ NNS .
84159,WP VBD NNP IN NNP .
84160,WP VBD NN VBD NNP FW NNP NN .
84161,WP VBD NNP IN NNP JJ NN .
84162,WP NNS VBP JJ NNP NN VBD IN .
84163,WP VBP DT JJ JJ NNS .
84164,WP VBZ JJ NN VBN IN IN NNP .
84165,"JJ IN NN , WP VBP CD JJ JJ JJ NNS IN NNP ."
84166,WP VBZ VBN .
84167,WP NNS VBP RB VBN IN JJ NNS .
84168,WP VBP CD JJ NNP NNP NNS .
84169,WP VBP CD NNS IN JJ NN NNS IN NNP .
84170,WRB VBZ DT NNP NN IN NN VBP PRP$ NNS .
84171,WP VBP DT JJ NNS VBN TO VB NNS IN DT NNS .
84172,WP VBP CD NNS IN JJ NNS .
84173,IN WRB VBP VBN NNS VBD JJ NN .
84174,IN WDT NNP NNP VBD NNP VBN IN .
84175,WP VBP DT IN DT JJS JJ NNS .
84176,WDT CD JJ NNS VBP RB VBN IN DT NN .
84177,WP VBP DT JJ NNS IN NNP NN NNS VBD IN NNP .
84178,WP VBP DT JJ NNS IN JJ NN NNS IN NNP .
84179,WP VBZ DT NNP NNP .
84180,WP JJ NNS VBP VBN VBN IN DT NNP NNP .
84181,IN WDT NN VBD NNP VB DT NNP NNP NNP NNP .
84182,WP VBP DT NNS IN JJ NNS IN NNP .
84183,WP VBP DT NNS IN JJ NNS IN NNP .
84184,WP VBP DT JJ JJ NNS IN NNP .
84185,WP VBP DT JJ NNS IN NNP .
84186,IN WDT NN VBD NNP VB DT NN IN NNP .
84187,IN WP NN VBD NNP IN NNP JJS RB VBN IN .
84188,WP VBZ CD IN NNP IN NNP POS JJS VBN NNS .
84189,WP VBP DT IN DT RBS JJ JJ JJ NNS IN NNP .
84190,WP VBZ DT RBS JJ NN IN NNP .
84191,WP VBZ RB DT JJ NN IN JJ NN NN .
84192,WP VBP CD NNS IN DT JJ NN NNS VBP IN NNP .
84193,WP NN VBD DT NNP NNP CC NNP NNP VB .
84194,WP VBP DT IN DT RBS JJ NN NNS IN NNP .
84195,WP VBP DT CD JJS NNS NN IN NN IN NNP .
84196,WP VBP DT CD JJS NNS NN IN NN IN NNP VBN IN .
84197,WRB JJ NNS IN DT NNP NNP NN NNS VBP `` DT JJ CD '' VBD .
84198,"JJ IN NN , WP JJ NNS VBP JJ IN NNP ."
84199,IN WP NN VBZ DT NNP NNP VBD .
84200,WP MD VB VBN IN IN JJ NN TO DT VBN IN NN .
84201,WP VBZ DT JJ NN IN NN .
84202,DT NNS NN MD VB VBN IN DT NN IN WP .
84203,WP MD VB VBN IN DT NNS IN DT NN IN NN .
84204,RB IN VBG TO DT JJ CC JJ NN NNS IN NN NN TO WP .
84205,WP VBD NN RB VBD DT JJ IN .
84206,WP VBZ VBN IN DT NN IN DT NN .
84207,IN WDT NN VBD NNP NN NN .
84208,WP VBZ VBN IN NN CC VBG DT NN VBD NN .
84209,WP VBZ DT JJ IN JJS NNS NNS IN NNS .
84210,IN DT NN IN DT JJ NNP WP JJ NN IN NN VBD VBN .
84211,NN NNS IN NNP IN PRP$ NN VBZ IN WP .
84212,WP VBP JJ NNS NN VBP PRP$ NNS IN .
84213,WP VBD DT NN IN NN NNS WP VBD IN DT JJ CD CC RB JJ NNS .
84214,IN WP NN VBD DT NN NN NN RB DT NN IN NN .
84215,WP MD VB VBN IN VBG DT NN NN IN VBG DT NN IN DT JJ NN .
84216,WP VBD JJ IN RB DT NN IN DT NN IN CD .
84217,WP NN VBD RB JJ TO DT JJ NN IN DT NN .
84218,IN WDT NN VBD DT NN IN NN IN VBN .
84219,WP VBD DT NN IN NNP VBN IN NNS IN DT NN .
84220,WP VBD TO VB DT NN NN IN PRP$ NNS .
84221,WP VBD IN NN MD RB VB DT JJ `` NN '' NN .
84222,WP VBD DT JJ NN IN NN CC DT NNS IN DT NN .
84223,WP RB VBN NN VBD DT NN IN DT NN IN NNP .
84224,WP VBD NN NNS IN NN NN TO IN NNS IN DT NN .
84225,WRB VBD DT VBN NNS VBP PRP$ NN .
84226,WDT JJ NN VBZ DT NN IN DT JJ NN IN NN .
84227,WRB VBD DT NN VBD .
84228,WP RB VBP NN VBD VBN IN NNP .
84229,WP VBD VBN IN VBG DT NN IN NN VBN IN NNP .
84230,WP JJ NN CC NN IN VBZ VBN IN NNP .
84231,WP VBZ VBN IN DT NN IN NN VBZ DT RBS JJ NN IN DT NN .
84232,WRB VBD NN NNS JJ IN DT NN IN DT NN NN .
84233,WP VBZ DT NN IN NNP VBN NN WDT VBD IN NNS .
84234,WP MD VB VBN IN VBG RB NNS VBP DT NNS IN NNS .
84235,WRB MD PRP VB DT NN .
84236,WP VBD CD IN DT JJ NNP TO VB DT JJ NN .
84237,WRB VBD DT NN IN VBG JJ NN TO .
84238,WP RB VBD DT NN IN NN VBZ VBN IN NNS .
84239,WP VBD DT JJ NN TO VB NN NNS TO NNS .
84240,WRB VBD DT JJ NN IN NNP VBP NNP .
84241,WP VBD VBN TO VB DT JJ NN IN NN IN IN DT NNP NN .
84242,DT NN CC NN IN JJ NNS VBD VBD TO VB DT NN TO WP VB .
84243,WP VBZ CD JJ NN WDT VBD VBN TO RB VB TO DT NN IN DT .
84244,WP VBD NNS IN NNP DT NN TO VB IN IN NNS .
84245,WP NNS MD VB VBN DT NN IN NNP NNP .
84246,WRB VBD JJ JJ TO VB DT NN IN NN VBN .
84247,WP VBD VBN IN DT NN IN NN IN DT NN NN .
84248,IN PRP$ VBD NN IN DT NN IN DT JJ NN WRB MD PRP VB PRP .
84249,WP VBD DT JJ NN IN JJ NNS IN DT CD .
84250,WRB VBP DT NNS RB JJ TO VB DT JJ NN IN NNS .
84251,NNS MD VB VBD TO VB VBN DT NN WDT VBD DT JJ NN IN NN IN PRP$ NN IN IN WP .
84252,WP NN RB VBD IN DT NN IN JJ NN IN NNS VBP VBD VBN IN DT JJ NN .
84253,WP NN VBD DT JJ NN IN NNP .
84254,WP VBD JJ TO VB DT NN IN NN IN DT IN PRP$ NNS .
84255,IN WRB VBD DT NN IN NN NN .
84256,WP RB VBD DT JJ NN IN NN NNS RBR
84257,WP VBD DT NN IN DT JJ NN NN VBD
84258,NNP NN IN WP NN VBD IN JJ NN IN JJ NN .
84259,WP VBD IN VBG TO DT JJ NNS IN JJ NNS VBD RB DT NN TO VB RB .
84260,WP NN VBD JJ IN DT NN IN PRP VBD DT NN NN .
84261,WRB VBD RB DT NNS CC NNS VBD TO IN JJS NN TO VB DT NNS IN NNP .
84262,WP VBD IN DT JJ NN CC NN IN NNS IN DT NN IN NN MD VB RB .
84263,WP VBD TO VB DT NN RB IN NNP IN DT NN .
84264,WRB VBD DT NN .
84265,WP NN IN NN VBD JJ TO DT NN IN NN .
84266,WP VBD JJ TO VB PRP$ JJ NNS IN DT IN NN .
84267,WP NN WDT VBZ VBN TO VB VBN IN DT NN IN NN VBD RB VBN IN DT NN IN NNPS .
84268,IN WP NN NN VBD JJ VB DT RBR JJ NN .
84269,NNP VBD IN IN PRP VBD TO VB PRP$ JJ NN IN JJ WP$ NN MD VB JJR NN .
84270,WP NN VBD RB VBN IN DT NNS IN NNP .
84271,WP NN IN NN VBD PRP VB WDT VBD VBN IN NNS IN NN .
84272,WP JJ NN VBD DT NNP NNS IN NNP POS NN NN IN PRP$ NNS .
84273,WP RB VBD NN VBD VBN IN NNS IN DT NN .
84274,WP CD NN NN VBN PRP$ NNS IN NN .
84275,WRB VBD DT JJ JJ NN IN NNP VBD .
84276,WP VBD DT NN .
84277,WRB VBD NNP NNP CC NNP NNP VB PRP$ JJ NNS IN NNP .
84278,WP VBD IN NNP NNP IN JJ NN .
84279,WP VBZ JJ NN .
84280,IN WP NN VBD JJ NN NN IN NN .
84281,PRP VBD PRP IN NN TO WP .
84282,WP VBD JJ IN NN IN DT NN IN DT NNP NNP .
84283,WP NNS NNS VBD PRP VB TO VB .
84284,WP VBD DT NN IN DT NN WDT VBD VBN IN DT NNS CC DT NNS IN NNS .
84285,WRB JJ NNS IN DT JJ NN IN NN CC NN VBD VBN NN
84286,WP VBD DT JJ NN IN NN IN DT NNP NN
84287,WRB VBD DT JJ NN IN DT WP VBD NNP NN .
84288,WP VBD DT JJ NN IN NNS IN NNP NN .
84289,WRB VBD CD JJ NN IN NNP .
84290,WP VBD PRP IN DT JJ NN WDT NN NNS VBD RB IN .
84291,WP NN WDT VBD VBN TO DT NN VBN VBD VBN IN DT NN .
